,international,worldwide,domestic,error
tt0082910,0.0,0.0,0.0,
tt0102411,0.0,12454768.0,12454768.0,
tt0105219,0.0,14356479.0,14356479.0,
tt0087556,0.0,0.0,0.0,
tt0110197,0.0,3783003.0,3783003.0,
tt0780608,169984.0,179381.0,9397.0,
tt0814022,27189257.0,42487390.0,15298133.0,
tt0068866,0.0,0.0,0.0,
tt2411516,0.0,0.0,0.0,
tt2978576,896929.0,896929.0,0.0,
tt0104228,0.0,0.0,0.0,
tt0067176,0.0,0.0,0.0,
tt0435680,849650.0,849650.0,0.0,
tt0459072,153326.0,153326.0,0.0,
tt0087852,0.0,0.0,0.0,
tt0119427,0.0,0.0,0.0,
