"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/1999","8.2443","8.2331","8.4028","8.0950","","0.40%"
"07/01/1999","8.2112","8.4255","8.6319","8.1608","","-2.76%"
"06/01/1999","8.4443","8.6051","8.7026","8.3430","","-1.81%"
"05/01/1999","8.5997","8.4125","8.6355","8.2327","","2.08%"
"04/01/1999","8.4248","8.2597","8.4400","8.1819","","2.06%"
"03/01/1999","8.2548","8.1954","8.3810","8.0103","","1.18%"
"02/01/1999","8.1587","7.7720","8.2190","7.7564","","4.62%"
"01/01/1999","7.7982","8.0880","8.1098","7.6724","","-3.92%"
"12/01/1998","8.1165","8.1417","8.1859","7.9434","","-0.33%"
"11/01/1998","8.1433","7.7588","8.2662","7.7183","","4.78%"
"10/01/1998","7.7720","7.8445","8.0976","7.6016","","-1.02%"
"09/01/1998","7.8520","7.9963","8.1307","7.7333","","-1.97%"
"08/01/1998","8.0100","7.9273","8.4697","7.9091","","0.94%"
"07/01/1998","7.9356","7.9759","8.1389","7.8089","","-0.68%"
"06/01/1998","7.9897","7.8310","8.1100","7.7170","","1.72%"
"05/01/1998","7.8548","7.7531","7.8776","7.5518","","1.36%"
"04/01/1998","7.7495","8.0054","8.0504","7.6382","","-3.24%"
"03/01/1998","8.0090","8.0021","8.0969","7.8427","","0.04%"
"02/01/1998","8.0060","8.1420","8.1636","7.9722","","-1.30%"
"01/01/1998","8.1111","7.9090","8.1309","7.7843","","2.23%"
"12/01/1997","7.9341","7.7440","7.9434","7.6955","","2.69%"
"11/01/1997","7.7263","7.5215","7.7876","7.4199","","2.78%"
"10/01/1997","7.5175","7.5665","7.7302","7.4361","","-0.61%"
"09/01/1997","7.5640","7.8890","7.9488","7.4705","","-4.30%"
"08/01/1997","7.9036","7.9895","8.1276","7.7803","","-1.14%"
"07/01/1997","7.9945","7.7195","8.0021","7.6676","","3.40%"
"06/01/1997","7.7315","7.7598","7.8211","7.6589","","-0.17%"
"05/01/1997","7.7450","7.8475","7.9365","7.4500","","-1.21%"
"04/01/1997","7.8400","7.5852","7.8664","7.5304","","3.37%"
"03/01/1997","7.5846","7.5289","7.8144","7.4997","","0.73%"
"02/01/1997","7.5294","7.2570","7.5347","7.2471","","3.85%"
"01/01/1997","7.2504","6.8470","7.3499","6.8260","","5.85%"
"12/01/1996","6.8497","6.7195","6.8967","6.6933","","1.91%"
"11/01/1996","6.7215","6.5770","6.7290","6.5374","","2.07%"
"10/01/1996","6.5850","6.6220","6.6700","6.5280","","-0.66%"
"09/01/1996","6.6285","6.6335","6.7582","6.5371","","-0.02%"
"08/01/1996","6.6295","6.5923","6.6734","6.5447","","0.50%"
"07/01/1996","6.5964","6.6500","6.7546","6.5132","","-0.73%"
"06/01/1996","6.6450","6.7137","6.7803","6.5818","","-1.06%"
"05/01/1996","6.7159","6.7888","6.8837","6.6900","","-1.09%"
"04/01/1996","6.7897","6.6736","6.8615","6.6020","","1.54%"
"03/01/1996","6.6869","6.7645","6.8840","6.5700","","-1.31%"
"02/01/1996","6.7755","6.9498","7.0715","6.6409","","-2.48%"
"01/01/1996","6.9481","6.6494","7.0450","6.5495","","4.66%"
"12/01/1995","6.6387","6.5522","6.7679","6.4767","","1.23%"
"11/01/1995","6.5580","6.6215","6.7211","6.4251","","-1.08%"
"10/01/1995","6.6295","6.9330","7.0453","6.5544","","-4.43%"
"09/01/1995","6.9369","7.2943","7.3615","6.8963","","-4.98%"
"08/01/1995","7.3005","7.0742","7.4104","7.0220","","3.15%"
"07/01/1995","7.0776","7.2646","7.3179","7.0163","","-2.51%"
"06/01/1995","7.2599","7.3494","7.4276","7.1691","","-1.08%"
"05/01/1995","7.3391","7.2771","7.4843","7.0710","","0.40%"
"04/01/1995","7.3096","7.3264","7.5049","7.1586","","-0.67%"
"03/01/1995","7.3587","7.3452","7.5163","7.0011","","0.07%"
"02/01/1995","7.3535","7.4971","7.5058","7.2044","","-2.02%"
"01/01/1995","7.5050","7.4239","7.5842","7.3872","","0.96%"
"12/01/1994","7.4337","7.5339","7.5982","7.3448","","-1.33%"
"11/01/1994","7.5341","7.1823","7.5921","7.1161","","5.37%"
"10/01/1994","7.1501","7.4736","7.5255","7.0208","","-4.33%"
"09/01/1994","7.4735","7.7472","7.7583","7.3871","","-3.51%"
"08/01/1994","7.7454","7.7210","7.9289","7.4910","","-0.27%"
"07/01/1994","7.7663","7.6516","7.9625","7.4743","","1.38%"
"06/01/1994","7.6605","7.8037","7.9695","7.5560","","-1.83%"
"05/01/1994","7.8036","7.6244","7.8212","7.5467","","2.38%"
"04/01/1994","7.6220","7.8333","8.0278","7.6029","","-2.70%"
"03/01/1994","7.8336","7.9744","8.0787","7.7863","","-1.74%"
"02/01/1994","7.9724","7.8706","8.1463","7.8188","","1.20%"
"01/01/1994","7.8778","8.3448","8.4039","7.8534","","-5.58%"
"12/01/1993","8.3434","8.4579","8.5340","8.1805","","-1.41%"
"11/01/1993","8.4624","8.1860","8.4936","8.0631","","3.37%"
"10/01/1993","8.1867","8.1050","8.2109","7.8265","","0.83%"
"09/01/1993","8.1194","8.1662","8.2645","7.7550","","-0.65%"
"08/01/1993","8.1724","8.2485","8.2828","7.8350","","-0.95%"
"07/01/1993","8.2507","7.7430","8.3305","7.6369","","6.69%"
"06/01/1993","7.7335","7.1650","7.9150","7.1444","","7.66%"
"05/01/1993","7.1835","7.3120","7.4530","7.1559","","-1.96%"
"04/01/1993","7.3269","7.7097","7.7918","7.1669","","-5.05%"
"03/01/1993","7.7164","7.8722","7.9094","7.5721","","-1.32%"
"02/01/1993","7.8200","7.3068","7.9158","7.2850","","7.08%"
"01/01/1993","7.3031","7.0918","7.5777","7.0322","","3.17%"
"12/01/1992","7.0788","6.8056","7.1412","6.6313","","3.93%"
"11/01/1992","6.8112","5.8110","6.9057","5.8060","","17.28%"
"10/01/1992","5.8075","5.2865","5.8341","5.2767","","9.74%"
"09/01/1992","5.2920","5.1270","5.7435","5.0705","","3.07%"
"08/01/1992","5.1345","5.3620","5.4064","5.1020","","-4.18%"
"07/01/1992","5.3583","5.5035","5.5375","5.2635","","-2.66%"
"06/01/1992","5.5050","5.7755","5.8405","5.4690","","-4.94%"
"05/01/1992","5.7910","5.7900","5.9850","5.7152","","-2.57%"
"04/01/1992","5.9435","5.9410","6.0565","5.8515","","-0.36%"
