movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb
290825,tt3838992,en,Yoga Hosers,2016-07-08 00:00:00+00:00,88,,36585.0,36585,,5000000,12,https://www.metacritic.com/movie/yoga-hosers?ftag=MCD-06-10aaa1c,23.0,12190.0,4.3,4.6,271.0
3682,tt0120577,en,54,1998-08-28 00:00:00+00:00,106,16757163.0,,16757163,6611532.0,13000000,12,https://www.metacritic.com/movie/54?ftag=MCD-06-10aaa1c,33.0,31368.0,5.9,5.7,303.0
4587,tt0100140,en,Mermaids,1990-12-14 00:00:00+00:00,110,35419397.0,,35419397,3514678.0,20000000,12,https://www.metacritic.com/movie/mermaids?ftag=MCD-06-10aaa1c,56.0,28445.0,6.7,6.7,303.0
309242,tt2349144,en,Mississippi Grind,2015-07-04 00:00:00+00:00,108,130541.0,292205.0,422746,12434.0,6000000,12,https://www.metacritic.com/movie/mississippi-grind?ftag=MCD-06-10aaa1c,77.0,20584.0,6.4,6.0,303.0
9826,tt0117331,en,The Phantom,1996-06-06 00:00:00+00:00,100,17323326.0,,17323326,5072346.0,45000000,12,/lists/tt0117331,,32153.0,4.9,5.0,319.0
401200,tt4951982,en,Kursk,2018-11-07 00:00:00+00:00,118,,6926443.0,6926443,,20000000,12,https://www.metacritic.com/movie/the-command?ftag=MCD-06-10aaa1c,55.0,14843.0,6.6,6.8,319.0
326423,tt3628584,en,Barbershop: The Next Cut,2016-04-15 00:00:00+00:00,112,54030051.0,1000000.0,55030051,20242415.0,20000000,12,https://www.metacritic.com/movie/barbershop-the-next-cut?ftag=MCD-06-10aaa1c,67.0,14228.0,5.9,6.2,319.0
239566,tt2473602,en,Get on Up,2014-08-01 00:00:00+00:00,139,30703100.0,2745871.0,33448971,13585915.0,30000000,12,https://www.metacritic.com/movie/get-on-up?ftag=MCD-06-10aaa1c,71.0,21998.0,6.9,6.7,335.0
256924,tt1772288,en,Danny Collins,2015-03-19 00:00:00+00:00,107,5637066.0,5198686.0,10835752,72459.0,10000000,12,https://www.metacritic.com/movie/danny-collins?ftag=MCD-06-10aaa1c,58.0,29805.0,7.0,6.7,335.0
11352,tt0096794,en,Always,1989-12-22 00:00:00+00:00,122,43858790.0,30276000.0,74134790,3713480.0,31000000,12,https://www.metacritic.com/movie/always?ftag=MCD-06-10aaa1c,50.0,27778.0,6.4,6.3,351.0
192136,tt2304771,en,Mandela: Long Walk to Freedom,2013-12-06 00:00:00+00:00,141,8323085.0,19662703.0,27985788,84283.0,35000000,12,https://www.metacritic.com/movie/mandela-long-walk-to-freedom?ftag=MCD-06-10aaa1c,60.0,26325.0,7.1,6.9,383.0
506528,tt4648786,en,Harriet,2019-11-01 00:00:00+00:00,125,43082155.0,264862.0,43347017,11676720.0,17000000,12,https://www.metacritic.com/movie/harriet?ftag=MCD-06-10aaa1c,66.0,18612.0,6.5,7.4,383.0
152792,tt0804463,en,Devil's Knot,2013-05-09 00:00:00+00:00,114,,2033154.0,2033154,,15000000,12,https://www.metacritic.com/movie/devils-knot?ftag=MCD-06-10aaa1c,42.0,20157.0,6.1,6.0,431.0
157820,tt2027140,fr,L'écume des jours,2013-04-24 00:00:00+00:00,131,303187.0,10132135.0,10435322,26511.0,24711400,12,https://www.metacritic.com/movie/mood-indigo?ftag=MCD-06-10aaa1c,54.0,15098.0,6.5,6.2,431.0
11560,tt0257756,en,High Crimes,2002-04-05 00:00:00+00:00,115,41543917.0,22237893.0,63781810,14005550.0,42000000,12,https://www.metacritic.com/movie/high-crimes?ftag=MCD-06-10aaa1c,48.0,38727.0,6.4,6.2,447.0
192149,tt1976000,en,The Two Faces of January,2014-05-16 00:00:00+00:00,96,507463.0,13044488.0,13551951,43116.0,31000000,12,https://www.metacritic.com/movie/the-two-faces-of-january?ftag=MCD-06-10aaa1c,66.0,29328.0,6.2,5.8,479.0
